"date","blob_fees","base_fees","priority_fees","tips","rev_total","issuance_total","operator_payment_txfees_miners","operator_payment_priorityfees_operators","operator_payment_priorityfees_builders","operator_payment_tips_operators","operator_payment_issuance_miners","operator_payment_issuance_operators","operator_payment_total","token_income","burn","rev_share_operators","rev_share_token","blob_fees_usd","base_fees_usd","priority_fees_usd","tips_usd","rev_total_usd","issuance_total_usd","operator_payment_txfees_miners_usd","operator_payment_priorityfees_operators_usd","operator_payment_priorityfees_builders_usd","operator_payment_tips_operators_usd","operator_payment_issuance_miners_usd","operator_payment_issuance_operators_usd","operator_payment_total_usd","token_income_usd","burn_usd","rev_share_operators_usd","rev_share_token_usd"
"2025-07-24 00:00:00+00","4.108451839999964e-09","116.68995033754759","229.2113218339793","50.473107556","396.3743797316353","2651.954104889","0","14.633001821550888","34.381698275096895","3.7908664058115713","0","192.0060603801548","244.81162688261415","151.56275284902117","116.68995034165604","18.42386822736246","343.56881322917593","1.5029730287288315e-05","427200.26318160107","839139.4179912591","184482.40124224848","1450822.0824301385","9701503.54538252","0","53571.213384019386","125870.91269868886","13855.856538192396","0","702405.623113515","895703.6057344156","555118.4766957229","427200.2631966308","67427.06992221178","1257524.0998092378"
"2025-07-23 00:00:00+00","4.151181311999959e-09","149.77816654261647","243.74195094206846","50.473107556","443.99322504483615","2651.954104889","0","16.69746638863566","21.54873773706845","3.79297371323733","0","192.1279330084695","234.16711084741095","209.8261141974252","149.77816654676766","20.49044010187299","401.9540472058947","1.517673669591041e-05","547448.6742625498","890892.250756963","184482.40124224848","1622823.3262769382","9690648.48136752","0","61030.29599712173","78761.99968593521","13863.558880150007","0","702065.0390609738","855720.8936241807","767102.4326527575","547448.6742777266","74893.85487727173","1469167.4717137313"
"2025-07-22 00:00:00+00","4.446879743999955e-09","171.98124646769895","256.7757338320349","84.285368143","513.0423484471808","2649.020003028","0","17.565839937020908","23.00676595603491","6.3333610927270545","0","191.9043550066817","238.81032199246457","274.2320264547162","171.98124647214584","23.899201029747964","466.1363814613979","1.6467337217310733e-05","636912.2548946688","950938.6342766795","312140.91641479","1899991.8056026055","9805778.561542688","0","65053.015681614415","85202.84323933092","23454.85555826907","0","710365.1946909465","884075.9091701609","1015915.8964324446","636912.2549111361","88507.87123988349","1726281.091123391"
"2025-07-21 00:00:00+00","4.1309962239999675e-09","258.14998726965786","303.2064930158039","83.912651823","645.2691321125928","2659.418668598","0","20.621544001242338","28.805422674803935","6.306128615601","0","192.68830604177035","248.42140133341763","396.8477307791752","258.14998727378884","26.92767261684334","589.5360368209456","1.5588222131240966e-05","974104.3899684702","1144120.8230822717","316636.39955672965","2434861.6126230597","10030318.599743497","0","77813.43222982665","108694.51894690015","23795.575716012187","0","726747.2109093436","937050.7378020826","1497810.874820977","974104.3899840584","101609.00794583884","2224558.085730321"
"2025-07-20 00:00:00+00","4.1089761279999666e-09","213.3496310213847","272.8175103962803","98.468551901","584.6356933227739","2666.329492247","0","18.526461325697234","26.264973933280288","7.3991281726888865","0","193.17947025094097","245.37003368260736","339.2656596401666","213.3496310254937","25.92558949838612","532.4451298911075","1.5212045729791989e-05","790088.1322759389","1010312.8662995596","364654.17768441985","2165055.1762751304","9867164.29006035","0","68608.21439637443","97265.90151515964","27400.859942636052","0","714890.4799558368","908165.4558100069","1256889.7204651234","790088.1322911509","96009.07433901049","1971780.2004209603"
